Title,Director,Budget,Revenue,IMDB_Rating,Review,Profit,ROI,Genre_Action,Genre_Comedy,Genre_Drama,Genre_Horror,Genre_Romance,Genre_Thriller,compound,sentiment
Movie 1,Director B,61775559,262819013,7.7,A decent movie with good direction.,201043454,3.2544173983111992,True,False,False,False,False,False,0.4404,positive
Movie 2,Director A,60131327,7150684,5.3,Amazing movie with great visuals and acting.,-52980643,-0.8810822185913176,True,False,False,False,False,False,0.836,positive
Movie 3,Director B,70203550,67974054,9.4,Loved the characters and the storyline.,-2229496,-0.03175759630389061,False,False,True,False,False,False,0.5994,positive
Movie 4,Director C,77732425,292278101,6.9,Amazing movie with great visuals and acting.,214545676,2.760053812807204,False,False,False,False,True,False,0.836,positive
Movie 5,Director A,82511221,270168521,3.6,Loved the characters and the storyline.,187657300,2.274324603680268,False,False,False,False,True,False,0.5994,positive
Movie 6,Director B,87908845,192688820,7.8,A decent movie with good direction.,104779975,1.1919161831781546,False,False,False,False,True,False,0.4404,positive
Movie 7,Director D,81779347,83189947,7.3,"Not worth the time, poor screenplay.",1410600,0.017248853796790527,False,False,True,False,False,False,-0.5812,negative
Movie 8,Director C,1565411,123990430,6.7,Loved the characters and the storyline.,122425019,78.20631067496012,False,False,True,False,False,False,0.5994,positive
Movie 9,Director C,56191486,95067744,8.3,Terrible plot and boring scenes.,38876258,0.6918531750521778,True,False,False,False,False,False,-0.6597,negative
Movie 10,Director B,1327297,198816372,7.7,Amazing movie with great visuals and acting.,197489075,148.7904176683892,True,False,False,False,False,False,0.836,positive
Movie 11,Director C,29503964,108424665,6.9,Loved the characters and the storyline.,78920701,2.674918563485232,False,False,False,True,False,False,0.5994,positive
Movie 12,Director C,69985200,108544331,7.5,A decent movie with good direction.,38559131,0.5509612175145602,False,True,False,False,False,False,0.4404,positive
Movie 13,Director A,6061831,124550838,6.1,Terrible plot and boring scenes.,118489007,19.546735466561177,False,False,True,False,False,False,-0.6597,negative
Movie 14,Director C,97126764,151617786,5.5,"Not worth the time, poor screenplay.",54491022,0.5610299340354837,False,False,False,False,True,False,-0.5812,negative
Movie 15,Director B,77549261,29263037,7.5,"Not worth the time, poor screenplay.",-48286224,-0.6226522777567152,False,False,False,True,False,False,-0.5812,negative
Movie 16,Director B,42885694,55790649,7.4,Loved the characters and the storyline.,12904955,0.30091514900050353,False,False,False,False,False,True,0.5994,positive
Movie 17,Director B,28071870,277873720,3.9,"Not worth the time, poor screenplay.",249801850,8.898653705649107,False,True,False,False,False,False,-0.5812,negative
Movie 18,Director A,73278814,46844537,3.8,Amazing movie with great visuals and acting.,-26434277,-0.3607356008791299,False,False,True,False,False,False,0.836,positive
Movie 19,Director A,86262673,126896225,8.5,Loved the characters and the storyline.,40633552,0.4710444342479394,False,False,False,False,True,False,0.5994,positive
Movie 20,Director C,92188484,246700537,8.3,A decent movie with good direction.,154512053,1.6760450578621078,False,False,True,False,False,False,0.4404,positive
Movie 21,Director C,89649368,25489382,8.8,Loved the characters and the storyline.,-64159986,-0.71567694710352,True,False,False,False,False,False,0.5994,positive
Movie 22,Director B,67978998,105643892,4.7,A decent movie with good direction.,37664894,0.554066625106772,False,False,False,False,False,True,0.4404,positive
Movie 23,Director C,46104336,215179979,8.2,"Not worth the time, poor screenplay.",169075643,3.667239519510703,False,False,False,True,False,False,-0.5812,negative
Movie 24,Director B,67682663,69328806,4.8,A decent movie with good direction.,1646143,0.024321486877666148,False,False,False,False,False,True,0.4404,positive
Movie 25,Director A,98910816,54355386,3.5,Amazing movie with great visuals and acting.,-44555430,-0.450460645274628,False,True,False,False,False,False,0.836,positive
Movie 26,Director A,12006840,61746751,6.3,A decent movie with good direction.,49739911,4.142631283501737,True,False,False,False,False,False,0.4404,positive
